id,full_name,email,balance,use_prepay,created_at,github_login
1,ScootyPrepaidson,scooty@prepay.com,65.0,True,2024-11-03T07:15:11.131054,scooty
2,ScootySubscriptson,scootysubbidoo@subscript.com,-30.0,False,2024-11-03T07:15:11.131054,scootysubbidoo
3,ScootyPoorson,scootypoor@prepay.com,-200.0,True,2024-11-03T07:15:11.131054,scootypoor
4,Mira Ros,mira.ros.4@example.com,101.77,True,2024-05-10T01:48:34.353255,ros4
5,Majlis Qvist,majlis.qvist.5@example.com,-129.89,False,2024-10-11T04:35:34.107239,qvist5
6,Ebba Hedberg,ebba.hedberg.6@example.com,287.1,True,2024-06-23T23:31:01.003077,hedberg6
7,Elvi Smedberg,elvi.smedberg.7@example.com,-29.24,True,2024-02-13T22:05:21.603717,smedberg7
8,Theodora Ekstrand,theodora.ekstrand.8@example.com,261.83,True,2024-08-20T19:53:57.323269,ekstrand8
9,Tunahan Löfqvist,tunahan.lofqvist.9@example.com,340.47,True,2024-09-20T08:50:21.716646,lofqvist9
10,Blenda Sahlström,blenda.sahlstrom.10@example.com,-49.64,False,2024-02-18T22:44:52.405834,sahlstrom10
11,Keyla  Friman,keyla.friman.11@example.com,40.92,True,2024-10-04T23:09:23.664647,friman11
12,Milano Hjort,milano.hjort.12@example.com,-5.17,True,2024-09-26T12:55:28.049215,hjort12
13,Mikaela Krantz,mikaela.krantz.13@example.com,66.86,True,2024-01-19T05:15:16.165134,krantz13
14,Samim Broman,samim.broman.14@example.com,395.94,True,2024-06-13T10:38:00.683092,broman14
15,Rinat Dahl,rinat.dahl.15@example.com,238.1,True,2024-06-13T23:19:54.199429,dahl15
16,Ayla Malmborg,ayla.malmborg.16@example.com,-1.32,True,2024-06-20T07:34:32.432845,malmborg16
17,Ebba Lindh,ebba.lindh.17@example.com,101.13,True,2024-12-31T03:11:41.730329,lindh17
18,Gärd Kjell,gard.kjell.18@example.com,65.84,True,2024-11-02T12:28:29.473549,kjell18
19,Iurii Haglund,iurii.haglund.19@example.com,203.32,True,2024-02-23T07:41:43.810458,haglund19
20,Vivi-Ann Lindell,viviann.lindell.20@example.com,38.17,True,2024-04-02T20:59:34.855120,lindell20
21,Szabolcs Nordin,szabolcs.nordin.21@example.com,-74.66,False,2024-05-19T06:11:52.909876,nordin21
22,Josefine Törnqvist,josefine.tornqvist.22@example.com,6.38,False,2024-03-27T16:10:17.144955,tornqvist22
23,Nomi  Kling,nomi.kling.23@example.com,-37.29,False,2025-01-03T07:29:07.621839,kling23
24,Julia Jonasson,julia.jonasson.24@example.com,127.7,True,2024-05-08T04:31:28.163297,jonasson24
25,Carmen Holmlund,carmen.holmlund.25@example.com,-27.22,True,2024-03-01T23:25:00.661812,holmlund25
26,Sad Landgren,sad.landgren.26@example.com,-56.47,False,2024-04-13T08:45:30.739594,landgren26
27,Jenna Lindquist,jenna.lindquist.27@example.com,51.88,True,2024-08-26T07:30:46.275534,lindquist27
28,Layan Ledin,layan.ledin.28@example.com,50.43,True,2024-02-16T02:10:47.820120,ledin28
29,Frans Jacobsson,frans.jacobsson.29@example.com,267.28,True,2024-03-18T21:49:24.476279,jacobsson29
30,Pixie  Widlund,pixie.widlund.30@example.com,-116.8,False,2024-09-15T01:44:27.303751,widlund30
31,Julle Vigren,julle.vigren.31@example.com,384.59,True,2024-10-07T06:38:35.727110,vigren31
32,Doris Hagström,doris.hagstrom.32@example.com,8.91,True,2025-01-02T07:40:10.599016,hagstrom32
33,Molly Tell,molly.tell.33@example.com,224.87,True,2024-07-26T08:36:48.514414,tell33
34,Agardh Eng,agardh.eng.34@example.com,363.52,True,2024-07-12T15:47:47.498905,eng34
35,Sven Göran Lindman,svengoran.lindman.35@example.com,93.83,True,2024-03-04T16:42:21.313940,lindman35
36,Thindra Ryd,thindra.ryd.36@example.com,-13.73,True,2024-10-18T13:56:45.908305,ryd36
37,Thomas Wallén,thomas.wallen.37@example.com,-145.52,False,2024-04-23T14:33:19.325470,wallen37
38,Rim Ehn,rim.ehn.38@example.com,-70.29,False,2024-04-09T10:49:52.397587,ehn38
39,Shivan Westberg,shivan.westberg.39@example.com,244.92,True,2024-04-23T03:33:45.918655,westberg39
40,Krystian Sundgren,krystian.sundgren.40@example.com,175.5,True,2024-08-13T07:23:51.949961,sundgren40
41,Hougaard Vestlund,hougaard.vestlund.41@example.com,227.07,True,2024-12-16T11:09:53.193181,vestlund41
42,Ally  Forsström,ally.forsstrom.42@example.com,7.49,True,2024-11-22T06:29:19.926593,forsstrom42
43,Bong Fast,bong.fast.43@example.com,31.03,True,2024-11-30T12:30:00.998995,fast43
44,Nojus Hall,nojus.hall.44@example.com,-155.75,False,2024-08-18T05:09:50.070030,hall44
45,Jana  Hellgren,jana.hellgren.45@example.com,153.16,True,2025-01-01T22:42:17.696935,hellgren45
46,Edouard Dahlgren,edouard.dahlgren.46@example.com,211.71,True,2024-12-20T15:39:29.397512,dahlgren46
47,Sepehr Sjölin,sepehr.sjolin.47@example.com,40.1,True,2024-06-25T20:08:11.521603,sjolin47
48,Vilhard Åkerlund,vilhard.akerlund.48@example.com,-135.34,False,2024-07-23T23:24:53.263908,akerlund48
49,Krishna Stål,krishna.stal.49@example.com,343.99,True,2024-02-21T05:42:52.557921,stal49
50,Dagny Nordvall,dagny.nordvall.50@example.com,45.32,True,2024-07-16T06:40:41.895363,nordvall50
51,Mahyar Tell,mahyar.tell.51@example.com,2.6,False,2024-03-09T08:09:15.234433,tell51
52,Lena Ljungberg,lena.ljungberg.52@example.com,-61.01,False,2024-12-12T11:03:18.505948,ljungberg52
53,Pasqual Jensen,pasqual.jensen.53@example.com,382.35,True,2024-06-28T06:48:44.427738,jensen53
54,Eleanor  Lundmark,eleanor.lundmark.54@example.com,175.03,True,2024-04-22T07:30:43.483523,lundmark54
55,Jafar Berglin,jafar.berglin.55@example.com,-104.91,False,2024-08-14T02:42:42.744170,berglin55
56,Alde Björklund,alde.bjorklund.56@example.com,285.96,True,2024-03-03T23:31:46.630390,bjorklund56
57,Pia Bohlin,pia.bohlin.57@example.com,141.38,True,2024-10-16T11:43:36.933945,bohlin57
58,Kelwin Cedergren,kelwin.cedergren.58@example.com,-23.23,True,2024-09-09T12:17:05.390673,cedergren58
59,Sigbritt Hellgren,sigbritt.hellgren.59@example.com,207.61,True,2024-07-23T11:11:54.164786,hellgren59
60,Clyde Josefsson,clyde.josefsson.60@example.com,-34.88,False,2024-08-10T23:11:10.811210,josefsson60
61,Teng Almström,teng.almstrom.61@example.com,137.81,True,2024-04-06T11:14:32.354501,almstrom61
62,Sargon Eklund,sargon.eklund.62@example.com,227.42,True,2024-12-25T07:23:13.313661,eklund62
63,Andrea Linderoth,andrea.linderoth.63@example.com,161.0,True,2024-06-14T15:52:58.448020,linderoth63
64,Abdulatif Wickman,abdulatif.wickman.64@example.com,361.71,True,2024-06-12T09:51:43.015655,wickman64
65,Vega Fridh,vega.fridh.65@example.com,-187.29,False,2024-10-08T21:12:31.390730,fridh65
66,Karl-Emil Ramberg,karlemil.ramberg.66@example.com,227.59,True,2024-02-12T08:22:21.717414,ramberg66
67,Karin Klint,karin.klint.67@example.com,138.16,True,2024-05-04T13:50:05.425889,klint67
68,Tilly  Thulin,tilly.thulin.68@example.com,-130.13,False,2024-08-02T09:38:45.672747,thulin68
69,Lola Qvist,lola.qvist.69@example.com,336.18,True,2024-03-23T10:51:50.744499,qvist69
70,Jan-Hugo Ström,janhugo.strom.70@example.com,203.09,True,2024-08-25T18:30:53.484399,strom70
71,Veronica Assarsson,veronica.assarsson.71@example.com,186.73,True,2024-03-13T11:20:28.433287,assarsson71
72,Anastasija Johannisson,anastasija.johannisson.72@example.com,365.67,True,2024-11-21T23:43:35.500272,johannisson72
73,Lucy  Nordlander,lucy.nordlander.73@example.com,380.37,True,2024-11-10T07:13:18.995183,nordlander73
74,Fanny Adolfsson,fanny.adolfsson.74@example.com,18.52,True,2024-01-25T09:48:39.368183,adolfsson74
75,Diako Ljungberg,diako.ljungberg.75@example.com,158.66,True,2024-11-23T21:27:10.111515,ljungberg75
76,Lo  Augustsson,lo.augustsson.76@example.com,244.67,True,2024-06-08T21:39:47.419730,augustsson76
77,Bälter Hellberg,balter.hellberg.77@example.com,284.64,True,2024-02-14T11:12:20.987589,hellberg77
78,Warren Thelin,warren.thelin.78@example.com,240.67,True,2024-02-14T06:45:24.837312,thelin78
79,Kayla  Granlund,kayla.granlund.79@example.com,-7.75,True,2024-02-28T00:52:47.985142,granlund79
80,Asmund Olin,asmund.olin.80@example.com,334.26,True,2024-04-06T02:16:00.840319,olin80
81,Margreta Gillberg,margreta.gillberg.81@example.com,360.78,True,2024-09-09T21:50:28.889169,gillberg81
82,Saudin Roos,saudin.roos.82@example.com,77.61,True,2024-02-03T11:54:19.570049,roos82
83,Marwan Jonsson,marwan.jonsson.83@example.com,247.46,True,2024-06-14T05:19:46.744393,jonsson83
84,Eleanor  Nystedt,eleanor.nystedt.84@example.com,250.78,True,2024-10-04T23:19:20.447933,nystedt84
85,Mathilda Ericson,mathilda.ericson.85@example.com,-160.9,False,2024-11-18T20:48:46.565490,ericson85
86,Sleyman Håkansson,sleyman.hakansson.86@example.com,250.1,True,2024-11-18T00:31:07.081357,hakansson86
87,Céline Sundell,celine.sundell.87@example.com,332.24,True,2024-06-05T15:01:44.157049,sundell87
88,Saliou Paulsson,saliou.paulsson.88@example.com,301.62,True,2024-06-04T05:09:58.260622,paulsson88
89,Iman Bergstrand,iman.bergstrand.89@example.com,196.03,True,2024-06-19T18:33:49.261068,bergstrand89
90,Asbjörn Stark,asbjorn.stark.90@example.com,314.76,True,2024-12-27T14:02:55.814995,stark90
91,Anne-Charlotte Fransén,annecharlotte.fransen.91@example.com,273.59,True,2024-04-06T08:24:51.979047,fransen91
92,Lotta Hultén,lotta.hulten.92@example.com,40.19,True,2024-05-06T22:20:19.423640,hulten92
93,Yvonne Kjellström,yvonne.kjellstrom.93@example.com,157.29,True,2024-10-24T03:20:57.772444,kjellstrom93
94,Pixie  Åhlén,pixie.ahlen.94@example.com,250.18,True,2024-02-29T10:40:09.517515,ahlen94
95,Elly Löfström,elly.lofstrom.95@example.com,311.26,True,2024-05-12T19:08:36.505214,lofstrom95
96,Radin Backman,radin.backman.96@example.com,282.92,True,2024-08-18T18:28:20.416636,backman96
97,Charlotta Holmberg,charlotta.holmberg.97@example.com,330.72,True,2024-11-11T21:33:23.500296,holmberg97
98,Enver Hellberg,enver.hellberg.98@example.com,360.29,True,2024-08-29T03:56:12.255798,hellberg98
99,Lars-Göran Ramström,larsgoran.ramstrom.99@example.com,263.71,True,2024-01-12T08:41:00.377908,ramstrom99
100,Samiullah Lindborg,samiullah.lindborg.100@example.com,390.53,True,2024-10-04T12:54:32.395313,lindborg100
101,Belinda Widlund,belinda.widlund.101@example.com,-38.09,False,2024-06-08T20:01:50.860260,widlund101
102,Sefast Grip,sefast.grip.102@example.com,69.86,True,2024-01-15T09:49:49.975966,grip102
103,Namuq Lundqvist,namuq.lundqvist.103@example.com,67.39,True,2024-05-17T18:39:30.415670,lundqvist103
104,Nikita Hultqvist,nikita.hultqvist.104@example.com,369.25,True,2025-01-09T04:00:15.674132,hultqvist104
105,Arkan Ryberg,arkan.ryberg.105@example.com,-197.37,False,2024-05-31T12:27:08.681472,ryberg105
106,Anette Kristoffersson,anette.kristoffersson.106@example.com,86.33,True,2024-08-11T15:25:25.032815,kristoffersson106
107,Kenney Sandin,kenney.sandin.107@example.com,377.67,True,2024-05-03T21:22:27.654036,sandin107
108,Brorsson Kullberg,brorsson.kullberg.108@example.com,215.08,True,2024-10-28T00:22:11.862101,kullberg108
109,Catarina Klang,catarina.klang.109@example.com,306.37,True,2024-07-07T08:12:36.082675,klang109
110,Isho Westin,isho.westin.110@example.com,65.08,True,2025-01-03T23:32:03.597579,westin110
111,Sumaya Anderberg,sumaya.anderberg.111@example.com,-16.94,False,2024-07-04T12:47:43.084751,anderberg111
112,Kaiwan Rosander,kaiwan.rosander.112@example.com,-193.04,False,2024-10-04T22:53:27.586091,rosander112
113,Elsa Stenlund,elsa.stenlund.113@example.com,42.87,True,2024-10-06T06:57:11.351226,stenlund113
114,Jennifer Trulsson,jennifer.trulsson.114@example.com,-20.83,True,2024-06-30T17:36:37.273741,trulsson114
115,Nilson Torstensson,nilson.torstensson.115@example.com,70.29,True,2024-10-23T19:04:29.357700,torstensson115
116,Caroline Vilhelmsson,caroline.vilhelmsson.116@example.com,164.5,True,2024-11-24T18:46:36.404735,vilhelmsson116
117,Kebron Dahlström,kebron.dahlstrom.117@example.com,133.08,True,2024-04-26T10:12:52.939005,dahlstrom117
118,E Hultén,e.hulten.118@example.com,233.7,True,2024-04-06T12:58:23.894052,hulten118
119,Rania Hansen,rania.hansen.119@example.com,283.15,True,2024-01-19T02:21:05.777267,hansen119
120,Lorin Stenmark,lorin.stenmark.120@example.com,5.04,True,2024-07-06T11:14:29.954462,stenmark120
121,Lova Landberg,lova.landberg.121@example.com,236.39,True,2024-05-13T15:04:35.676664,landberg121
122,Dan-Mikael Fröberg,danmikael.froberg.122@example.com,88.83,True,2024-07-04T03:51:15.786551,froberg122
123,Wei Selander,wei.selander.123@example.com,357.0,True,2024-04-18T15:08:14.275930,selander123
124,Milinko Kämpe,milinko.kampe.124@example.com,17.16,True,2025-01-07T19:32:28.602506,kampe124
125,Alhasan Holmén,alhasan.holmen.125@example.com,102.96,True,2024-05-30T16:06:28.560612,holmen125
126,Svea Wikman,svea.wikman.126@example.com,-165.88,False,2024-06-27T09:09:41.538072,wikman126
127,Dah Åkerström,dah.akerstrom.127@example.com,69.21,True,2024-04-07T19:00:37.481200,akerstrom127
128,Vivianne Ingvarsson,vivianne.ingvarsson.128@example.com,124.24,True,2024-10-16T03:11:45.234227,ingvarsson128
129,Margret Landström,margret.landstrom.129@example.com,-14.12,True,2024-09-07T12:23:41.692720,landstrom129
130,Erno Lång,erno.lang.130@example.com,52.26,True,2024-10-21T07:50:24.995927,lang130
131,Eila  Sjöö,eila.sjoo.131@example.com,312.48,True,2024-03-05T13:52:07.926553,sjoo131
132,Lava  Rosén,lava.rosen.132@example.com,-16.0,False,2024-01-31T22:29:58.710197,rosen132
133,Beatrice Hultberg,beatrice.hultberg.133@example.com,322.15,True,2024-09-21T18:19:57.190336,hultberg133
134,Sebastiaan Norström,sebastiaan.norstrom.134@example.com,23.05,True,2024-12-27T12:52:39.465824,norstrom134
135,Jonna Brorsson,jonna.brorsson.135@example.com,-181.82,False,2024-10-28T20:05:48.649664,brorsson135
136,Nikolai Rasmusson,nikolai.rasmusson.136@example.com,273.7,True,2024-02-24T05:45:16.487636,rasmusson136
137,Tariq Bylund,tariq.bylund.137@example.com,-62.74,False,2024-05-29T13:09:30.904622,bylund137
138,Leiah  Granath,leiah.granath.138@example.com,58.41,True,2024-03-24T05:57:27.702973,granath138
139,Alvina Svantesson,alvina.svantesson.139@example.com,379.34,True,2024-06-08T13:33:42.542712,svantesson139
140,Lavin  Skog,lavin.skog.140@example.com,259.29,True,2024-03-17T01:05:11.455691,skog140
141,Vali Brolin,vali.brolin.141@example.com,151.23,True,2024-09-26T20:17:52.192133,brolin141
142,Signhild Högman,signhild.hogman.142@example.com,-62.28,False,2024-10-24T03:20:57.750812,hogman142
143,Teame Sandén,teame.sanden.143@example.com,58.96,True,2024-09-12T22:01:14.457668,sanden143
144,Grop Leandersson,grop.leandersson.144@example.com,387.59,True,2024-01-21T17:13:59.547160,leandersson144
145,Thomaz Öhlund,thomaz.ohlund.145@example.com,188.04,True,2024-06-19T18:39:58.612642,ohlund145
146,Wilda Nordmark,wilda.nordmark.146@example.com,84.08,True,2024-09-06T22:04:21.996963,nordmark146
147,Vesel Stensson,vesel.stensson.147@example.com,203.36,True,2024-02-14T02:50:01.412925,stensson147
148,Monica Juhlin,monica.juhlin.148@example.com,38.71,True,2024-08-08T02:16:31.132205,juhlin148
149,Sköld Ringström,skold.ringstrom.149@example.com,-20.22,False,2024-11-27T11:47:30.540074,ringstrom149
150,Soren Månsson,soren.mansson.150@example.com,3.86,True,2024-10-21T04:57:40.200467,mansson150
151,Aurelian Bergendahl,aurelian.bergendahl.151@example.com,134.35,True,2024-04-25T18:09:21.720560,bergendahl151
152,Cassandra Svensk,cassandra.svensk.152@example.com,100.25,True,2024-05-01T14:12:48.343578,svensk152
153,Anass Valfridsson,anass.valfridsson.153@example.com,178.9,True,2024-05-07T01:44:59.682620,valfridsson153
154,Solaqa Arvidsson,solaqa.arvidsson.154@example.com,-11.66,False,2024-03-18T11:02:23.122252,arvidsson154
155,Naemi Johannisson,naemi.johannisson.155@example.com,161.24,True,2024-07-02T09:47:58.165422,johannisson155
156,Ami Ingemarsson,ami.ingemarsson.156@example.com,339.02,True,2024-09-20T05:10:09.123865,ingemarsson156
157,Carolus Svanström,carolus.svanstrom.157@example.com,145.76,True,2024-12-27T11:25:40.686274,svanstrom157
158,Hyo Rapp,hyo.rapp.158@example.com,311.58,True,2024-06-14T14:23:39.682503,rapp158
159,Eleonora Forsström,eleonora.forsstrom.159@example.com,-15.81,True,2024-12-06T17:17:16.645545,forsstrom159
160,Caisa Rydén,caisa.ryden.160@example.com,196.28,True,2024-11-02T13:58:56.549514,ryden160
161,Destiny  Ahlin,destiny.ahlin.161@example.com,283.69,True,2024-04-09T06:09:38.368556,ahlin161
162,Natasha Wickström,natasha.wickstrom.162@example.com,-55.47,False,2024-09-25T10:11:55.749889,wickstrom162
163,Nell Lindbäck,nell.lindback.163@example.com,-17.4,False,2024-12-09T03:11:14.463838,lindback163
164,Jolina Emilsson,jolina.emilsson.164@example.com,-3.88,True,2024-10-08T21:09:03.840639,emilsson164
165,Beatrice Niemi,beatrice.niemi.165@example.com,228.62,True,2024-06-27T12:51:43.926050,niemi165
166,Bakhtiyar Valfridsson,bakhtiyar.valfridsson.166@example.com,343.8,True,2024-10-16T21:23:27.868712,valfridsson166
167,Ingegerd Lundmark,ingegerd.lundmark.167@example.com,-13.16,True,2024-09-11T22:13:41.286926,lundmark167
168,Ingela Qvarnström,ingela.qvarnstrom.168@example.com,157.96,True,2024-02-21T15:57:59.246458,qvarnstrom168
169,Jack Wiberg,jack.wiberg.169@example.com,118.81,True,2024-01-19T19:24:37.786618,wiberg169
170,Milio Abrahamsson,milio.abrahamsson.170@example.com,175.64,True,2024-04-25T04:37:45.728473,abrahamsson170
171,Reimer Classon,reimer.classon.171@example.com,34.85,True,2024-06-06T06:05:04.335806,classon171
172,Bo-Inge Valfridsson,boinge.valfridsson.172@example.com,-64.86,False,2024-07-20T00:54:33.549616,valfridsson172
173,Eivor Skog,eivor.skog.173@example.com,380.39,True,2025-01-03T23:54:58.603854,skog173
174,Ove Fahlén,ove.fahlen.174@example.com,319.01,True,2024-03-15T16:11:58.110177,fahlen174
175,Galip Ålander,galip.alander.175@example.com,-132.49,False,2024-05-21T09:40:12.588023,alander175
176,Jolina Björkman,jolina.bjorkman.176@example.com,1.77,True,2024-08-02T14:48:04.595528,bjorkman176
177,Isa Kruse,isa.kruse.177@example.com,193.69,True,2024-01-20T15:22:45.334691,kruse177
178,Milou  Thelander,milou.thelander.178@example.com,237.88,True,2024-03-02T09:45:39.869211,thelander178
179,Tania  Zachrisson,tania.zachrisson.179@example.com,182.89,True,2024-04-06T19:14:47.599317,zachrisson179
180,Dalia Bäckström,dalia.backstrom.180@example.com,-167.23,False,2024-12-13T10:18:15.566806,backstrom180
181,Alisha  Sandberg,alisha.sandberg.181@example.com,174.31,True,2024-09-30T11:14:52.642667,sandberg181
